Security_Hub_Identifier,
1.2, 
1.5,
1.6,
1.7,
1.8,
1.9,
1.1,
1.11,
ACM.1,
APIGateway.1,
APIGateway.2,
APIGateway.3,
APIGateway.5,
AutoScaling.1,
CloudFront.2,
CloudFront.5,
CloudTrail.1,
CloudTrail.2,
CloudTrail.4,
CloudTrail.5,
CodeBuild.1,
CodeBuild.2,
DMS.1,
DynamoDB.1,
DynamoDB.2,
DynamoDB.3,
EC2.1,
EC2.10,
EC2.15,
EC2.16,
EC2.17,
EC2.18,
EC2.19,
EC2.2,
EC2.21,
EC2.22,
EC2.3,
EC2.4,
EC2.6,
EC2.7,
EC2.8,
EC2.9,
ECS.1,
EFS.1,
EFS.2,
ElastikBeanstalk.2,
ELB.1,
ELB.2,
ELB.3,
ELB.5,
ELB.6,
ELB.8,
ELB.9,
ELBv2.1,
EMR.1,
ES.1,
ES.2,
ES.3,
ES.4,
IAM.1,
IAM.2,
IAM.21,
IAM.3,
IAM.4,
IAM.5,
IAM.6,
IAM.8,
KMS.1,
KMS.2,
KMS.3,
Lambda.1,
Lambda.2,
RDS.1,
RDS.10,
RDS.11,
RDS.12,
RDS.12,
RDS.14,
RDS.15,
RDS.2,
RDS.3,
RDS.5,
RDS.6,
RDS.7,
RDS.8,
RDS.9,
RedShift.1,
RedShift.2,
RedShift.3,
RedShift.6,
RedShift.7,
S3.1,
S3.2,
S3.3,
S3.4,
S3.5,
S3.8,
S3.9,
Sagemaker.1,
SecretsManager.1,
SecretsManager.2,
SecretsManager.3,
SecretsManager.4,
SNS.1,
SSM.1,
SSM.2,
SSM.3,
SSM.4,
WAF.1,
